username,player_id,mens_rating,mens_rd,womens_rating,womens_rd
cbva_brian,44960024-4aeb-4a1c-be0d-da86a293b08f,1603,68,1500,350
cbva_graybill,5413bf58-f781-46ba-a20c-a3af97205dcc,1577,68,1500,350
cbva_ward,a1f077d7-2835-42d0-aa9f-0537380da83f,1587,115,1500,350
cbva_reidmorgan,f9a54c63-15fb-4801-b448-8a9e8756d387,1442,99,1500,350
cbva_westonkammer,ee76fe69-7d3b-4f64-b6ff-da82962c2812,1625,68,1500,350
cbva_zchapecbva,1e0b6928-b5ff-44bc-8360-a8be15ddbbb4,1538,68,1500,350
cbva_johnnydykstra,0030119f-8ac3-4591-9b27-6b19040b5d49,1642,68,1500,350
cbva_jaguarmontoya,00d37e8f-e2d3-47f5-97d7-2b2e0ed3aa42,1537,68,1500,350
cbva_hastydamo,f04bc4e8-a7c7-4b33-966b-bb179358ec6c,1407,137,1500,350
cbva_ray,10ee3c65-066c-4a99-9892-9b2205250a66,1460,69,1500,350
cbva_jakepelletier,84685cfb-042e-442f-8f42-86ecbb84c707,1580,81,1500,350
cbva_zack,4e233429-2852-47e2-97f0-610eb0622cab,1526,68,1500,350
cbva_joeshoee,235a8235-9127-453a-aa95-10d6112957fb,1421,68,1500,350
cbva_beaston,5a7bd368-022e-4af8-9f6c-c7d4ab532d91,1445,68,1500,350
cbva_jonahmay,0f1306ca-6236-43d5-ac70-b5e72abb7c24,1538,68,1500,350
cbva_romainricordeau,a7faed46-6744-469b-9a42-b7f912516afb,1573,68,1500,350
cbva_twobeerdan,2c647a68-da4f-4901-887c-7a86a87b2f8b,1377,137,1500,350
cbva_jeskandarian,b0d7b661-0e37-4687-b717-cdeddc324949,1377,137,1500,350
cbva_jpaschke,faf72dd8-6f95-46aa-b7a4-4a82b7889f6c,1557,94,1500,350
cbva_swaneysr,2cc1d647-8c98-459e-b2c5-c104065bf711,1558,146,1500,350
cbva_seanwren,4a01c8a4-5e52-4df7-87e2-a9f3265b48a4,1606,155,1500,350
cbva_alexgonz,9eab1592-5032-46e5-8640-6d0935e39625,1564,81,1500,350
cbva_jkoopcbva,2a474573-b68e-4403-8403-30659015f050,1420,189,1500,350
cbva_quinonesbeto,13f0d955-fcd4-46ae-9c83-c59e8036c7ce,1420,189,1500,350
cbva_chasnaylor,580c363b-96f3-4a39-837a-b59ea0c8caa2,1306,133,1500,350
cbva_dquintero,624a62a9-6ee7-4be1-a6b1-268cad9dca95,1374,210,1500,350
cbva_christopherphanngam,27e2b0ce-4598-4feb-ae47-eee389a4d270,1555,126,1500,350
cbva_jcarroll,c7f9c015-245e-4387-be49-9dbbd2697cc0,1555,126,1500,350
cbva_tdwilcock,0f971f0e-79b3-43a0-9261-de2f740d64ab,1638,81,1500,350
cbva_devinmcbride,33930025-f187-4e91-b2dd-492f3cda2e72,1628,74,1500,350
cbva_dominikgarcia,275e69c3-6a37-4be3-9f1c-2bceabd4721b,1363,213,1500,350
cbva_dannykranda,e03fbc9b-9a2f-4c72-ada0-f1631f442a8d,1552,88,1500,350
cbva_schokobautzi,ef80f4f7-5283-4c88-9ab4-20663333387b,1538,68,1500,350
cbva_nashbaugh,137b28c2-fbf1-473c-a920-f1f60e0859af,1393,119,1500,350
cbva_joepsimmons,9a0f08a1-cde2-490f-95c0-d720aa9dcd15,1402,68,1500,350
cbva_mesalane,fdcc42ce-9e88-478a-9605-b204ced8d90c,1523,162,1500,350
cbva_jameskiffe,51918562-2696-4e50-8325-4e0ecd678add,1513,128,1500,350
cbva_rforemanvb,bd13a792-802c-47e8-9eac-bee2b8ce43d3,1441,100,1500,350
cbva_andrewkarges,a3ba1682-db45-499b-840e-2372487dce9f,1528,159,1500,350
cbva_grantdvorak,1e99f534-a7e5-481d-89c1-3bab68f8e5d8,1464,112,1500,350
cbva_tonypray,1b404df1-c0a4-4b35-9465-29270df70d1b,1570,72,1500,350
cbva_jeffsteffens,995eb16c-6e77-41ec-b462-be861c0a62ad,1633,92,1500,350
cbva_cirtapareyan,e13e8a20-0c5a-4178-8a40-b5879d795576,1481,187,1500,350
cbva_phillipfriedman,99d3fa6c-d953-4b56-a45f-26a3f47e2c66,1626,120,1500,350
cbva_ishritchie,a7edad38-e0fd-4750-a5fe-e744d1a28938,1398,70,1500,350
cbva_sbflyhigh,cf7fac88-cf02-4041-a919-a3bce36dee3e,1467,85,1500,350
cbva_ethanigreenberg,8db62a6d-0bad-4057-aa1e-93454aa41318,1379,124,1500,350
cbva_danielgreenbergmb,4e7c1a9c-0d60-493a-a512-cbb1f4a98115,1385,151,1500,350
cbva_chadpole,1e20a1b8-570b-4b0d-a65b-886582515737,1602,112,1500,350
cbva_dnlzblxx,24afde66-890e-4fb1-bd6f-03fada83bf0e,1355,207,1500,350
cbva_chriskarnezis,a919b31e-8048-477d-88fd-027b97be714d,1628,106,1500,350
cbva_danielramsey,804a963f-5a9e-4573-ae35-50edd5f049b4,1452,83,1500,350
cbva_shaneleimel,6d9cf168-7736-4519-bae3-16e12c68f5a9,1585,89,1500,350
cbva_cecena,b51ccd70-5a16-4bfe-a6a2-771392007b03,1592,89,1500,350
cbva_jakesanchez,5199e0a1-a70d-41fa-8806-6f01ccc94984,1302,138,1500,350
cbva_evanrogers,5d1802c8-a2ff-4f4b-bde2-aec7ea7312d7,1561,89,1500,350
cbva_thewarewolfe,8078836c-72de-4b5a-a075-8ee5897ee7c0,1507,75,1500,350
cbva_mattsympson,8369bcb9-d55d-4baf-b19b-101ecbfe5241,1650,112,1500,350
cbva_kane,ab7c45d9-ff2c-489c-a508-8aafa581a12c,1560,71,1500,350
